,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
CPPRQ UN Equity,OLD COPPER CO INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CPRI UN Equity,CAPRI HOLDINGS LTD,GB,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",3052450782
CPRT UW Equity,COPART INC,US,USD,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,37510685255
CPT UN Equity,CAMDEN PROPERTY TRUST,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,11281096840
CRDA LN Equity,CRODA INTERNATIONAL PLC,GB,GBp,Materials,Materials,Chemicals,Specialty Chemicals,3835785592
CRH LN Equity,CRH PLC,IR,GBp,Materials,Materials,Construction Materials,Construction Materials,59990026123
CRL UN Equity,CHARLES RIVER LABORATORIES,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,8806616381
CRM UN Equity,SALESFORCE INC,US,USD,Information Technology,Software & Services,Software,Application Software,2.17199E+11
CRWD UW Equity,CROWDSTRIKE HOLDINGS INC - A,US,USD,Information Technology,Software & Services,Software,Systems Software,1.25864E+11
CS/ LN Equity,CORUS GROUP PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CSCO UQ Equity,CISCO SYSTEMS INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,3.0056E+11
CSCO UW Equity,CISCO SYSTEMS INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,3.0056E+11
CSGP UW Equity,COSTAR GROUP INC,US,USD,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Services,28743661686
CSRA UN Equity,CSRA INC,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,#N/A N/A
CSX UN Equity,CSX CORP,US,USD,Industrials,Transportation,Ground Transportation,Rail Transportation,65742745232
CSX UW Equity,CSX CORP,US,USD,Industrials,Transportation,Ground Transportation,Rail Transportation,65733434547
CTAS UQ Equity,CINTAS CORP,US,USD,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,74184588759
CTAS UW Equity,CINTAS CORP,US,USD,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services,74184588759
CTB UN Equity,COOPER TIRE & RUBBER CO LLC,US,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber,#N/A N/A
CTEC LN Equity,CONVATEC GROUP PLC,GB,GBp,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,4618834670
CTLT UN Equity,CATALENT INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
CTRA UN Equity,COTERRA ENERGY INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,20092753597
CTSH UW Equity,COGNIZANT TECH SOLUTIONS-A,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,37187910745
CTVA UN Equity,CORTEVA INC,US,USD,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,45522921890
CTXS UQ Equity,CITRIX SYSTEMS INC,US,USD,Information Technology,Software & Services,Software,Application Software,#N/A N/A
CTXS UW Equity,CITRIX SYSTEMS INC,US,USD,Information Technology,Software & Services,Software,Application Software,#N/A N/A
CURY LN Equity,CURRYS PLC,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail,1425357205
CVC UN Equity,CABLEVISION SYSTEMS-NY GRP-A,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,#N/A N/A
CVG UN Equity,CONVERGYS CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CVH UN Equity,COVENTRY HEALTH CARE INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CVS UN Equity,CVS HEALTH CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,1.01377E+11
CVX UN Equity,CHEVRON CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,3.01042E+11
CWC LN Equity,CABLE & WIRELESS COMMUNICATI,US,GBp,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,#N/A N/A
CXO UN Equity,CONCHO RESOURCES INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,#N/A N/A
CZR UW Equity,CAESARS ENTERTAINMENT INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,4682236212
D UN Equity,DOMINION ENERGY INC,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,53403736344
DAL UN Equity,DELTA AIR LINES INC,US,USD,Industrials,Transportation,Passenger Airlines,Passenger Airlines,41965917099
DAY UN Equity,DAYFORCE INC,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se,11042412447
DCC LN Equity,DCC PLC,IR,GBp,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,4798306212
DCNAQ UN Equity,DANA CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DD UN Equity,DUPONT DE NEMOURS INC,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,16524386779
DDS UN Equity,DILLARDS INC-CL A,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,10482389243
DE UN Equity,DEERE & CO,US,USD,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,1.2702E+11
DECK UN Equity,DECKERS OUTDOOR CORP,US,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear,12707491989
DELL UN Equity,DELL TECHNOLOGIES -C,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",90088435161
DFODQ UN Equity,DEAN FOODS CO,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,#N/A N/A
DFS UN Equity,DISCOVER FINANCIAL SERVICES,US,USD,Financials,Financial Services,Consumer Finance,Consumer Finance,#N/A N/A
DG UN Equity,DOLLAR GENERAL CORP,US,USD,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R,23940932666
DGE LN Equity,DIAGEO PLC,GB,GBp,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,38216198295
DGX UN Equity,QUEST DIAGNOSTICS INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,21101563648
DHI UN Equity,DR HORTON INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,45783409937
DHR UN Equity,DANAHER CORP,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,1.61373E+11
DIS UN Equity,WALT DISNEY CO/THE,US,USD,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,1.84652E+11
DISCA UW Equity,WARNER BROS DISCOVERY INC,US,USD,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,#N/A N/A
DISCK UW Equity,DISCOVERY INC-C,US,USD,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,#N/A N/A
DISH UW Equity,DISH NETWORK CORP-A,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,#N/A N/A
DJ UN Equity,DOW JONES & CO INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DLG LN Equity,DIRECT LINE INSURANCE GROUP,GB,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,#N/A N/A
DLR UN Equity,DIGITAL REALTY TRUST INC,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Data Center REITs,55571550358
DLTR UW Equity,DOLLAR TREE INC,US,USD,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R,22385470660
DMGT LN Equity,DAILY MAIL & GENERAL TRUST P,GB,GBp,Communication Services,Media & Entertainment,Media,Publishing,#N/A N/A
DNRCQ UN Equity,DENBURY INC-PRE BANKRUPTCY,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,#N/A N/A
DOC UN Equity,HEALTHPEAK PROPERTIES INC,US,USD,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs,12661985775
DOFSQ UN Equity,DIAMOND OFFSHORE DRILLING,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,#N/A N/A
DOV UN Equity,DOVER CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,25536558590
DOW UN Equity,DOW INC,US,USD,Materials,Materials,Chemicals,Commodity Chemicals,16874828143
DPH LN Equity,DECHRA PHARMACEUTICALS LTD,GB,GBp,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
DPLM LN Equity,DIPLOMA PLC,GB,GBp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,7360593410
DPZ UN Equity,DOMINO'S PIZZA INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,14046957996
DRE UN Equity,DUKE REALTY CORP,US,USD,Real Estate,Equity Real Estate Investment,Industrial REITs,Industrial REITs,#N/A N/A
DRI UN Equity,DARDEN RESTAURANTS INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,20936477160
DRX LN Equity,DRAX GROUP PLC,GB,GBp,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity,2460569969
DTE UN Equity,DTE ENERGY COMPANY,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,28406882381
DUK UN Equity,DUKE ENERGY CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,96028540000
DVA UN Equity,DAVITA INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,8479060000
DVN UN Equity,DEVON ENERGY CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,22833720000
DXC UN Equity,DXC TECHNOLOGY CO,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,2282896045
DXCM UW Equity,DEXCOM INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,24387717488
DXNS LN Equity,CURRYS RETAIL GROUP LTD,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail,#N/A N/A
DYNIQ UN Equity,DYNEGY INC/OLD,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EA UQ Equity,ELECTRONIC ARTS INC,US,USD,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,50501429568
EA UW Equity,ELECTRONIC ARTS INC,US,USD,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,50501429568
EBAY UQ Equity,EBAY INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,37285480000
EBAY UW Equity,EBAY INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,37285480000
ECL UN Equity,ECOLAB INC,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,77886972218
ED UN Equity,CONSOLIDATED EDISON INC,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,36144091785
EDV LN Equity,ENDEAVOUR MINING PLC,GB,GBp,Materials,Materials,Metals & Mining,Gold,8360131489
EFX UN Equity,EQUIFAX INC,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,26033211670
EG UN Equity,EVEREST GROUP LTD,BD,USD,Financials,Insurance,Insurance,Reinsurance,13098413438
EIG LN Equity,EI GROUP LTD,GB,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,#N/A N/A
EIX UN Equity,EDISON INTERNATIONAL,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,22744762880
EKDKQ UN Equity,EASTMAN KODAK CO,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",#N/A N/A
EL UN Equity,ESTEE LAUDER COMPANIES-CL A,US,USD,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,33765754488
ELV UN Equity,ELEVANCE HEALTH INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care,75232266051
EMG LN Equity,MAN GROUP PLC/JERSEY,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,2366889602
EMN UN Equity,EASTMAN CHEMICAL CO,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,6986775250
EMR UN Equity,EMERSON ELECTRIC CO,US,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,73842992000
ENDPQ UW Equity,ENDO INTERNATIONAL PLC,IR,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
ENPH UQ Equity,ENPHASE ENERGY INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi,3640517104
ENRC LN Equity,EURASIAN NATURAL RESOURCES C,GB,GBp,Materials,Materials,Metals & Mining,Diversified Metals & Mining,#N/A N/A
ENT LN Equity,ENTAIN PLC,GB,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,4940285315
EOG UN Equity,EOG RESOURCES INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,57623956133
EOP UN Equity,EQUITY OFFICE PROPERTIES TR,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EPAM UN Equity,EPAM SYSTEMS INC,US,USD,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,10202759118
EQIX UW Equity,EQUINIX INC,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Data Center REITs,73679814792
EQR UN Equity,EQUITY RESIDENTIAL,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,23429633319
EQT UN Equity,EQT CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,36819953000
ERIE UW Equity,ERIE INDEMNITY COMPANY-CL A,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,15385770760
ES UN Equity,EVERSOURCE ENERGY,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,25025115972
ESRX UQ Equity,EVERNORTH HEALTH INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,#N/A N/A
ESRX UW Equity,EVERNORTH HEALTH INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,#N/A N/A
ESS UN Equity,ESSEX PROPERTY TRUST INC,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,16881582247
ESSR LN Equity,ESSAR ENERGY LTD,MP,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ETFC UN Equity,E*TRADE FINANCIAL CORP,US,USD,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,#N/A N/A
ETFC UW Equity,E*TRADE FINANCIAL CORP,US,USD,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,#N/A N/A
ETN UN Equity,EATON CORP PLC,IR,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,1.32712E+11
ETR UN Equity,ENTERGY CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,43118931081
ETSY UW Equity,ETSY INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,#N/A N/A
EVHC UN Equity,ENVISION HEALTHCARE CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,#N/A N/A
EVR LN Equity,EVRAZ PLC,RU,GBp,Materials,Materials,Metals & Mining,Steel,#N/A N/A
EVRG UN Equity,EVERGY INC,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,17718007124
EVRG UW Equity,EVERGY INC,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,17715709665
EW UN Equity,EDWARDS LIFESCIENCES CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,50341025000
EXC UN Equity,EXELON CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,47009026704
EXC UW Equity,EXELON CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,47014074382
EXPD UN Equity,EXPEDITORS INTL WASH INC,US,USD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,19749324392
EXPD UW Equity,EXPEDITORS INTL WASH INC,US,USD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,#N/A N/A
EXPE UW Equity,EXPEDIA GROUP INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",31566710070
EXPN LN Equity,EXPERIAN PLC,IR,GBp,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,30399687127
EXR UN Equity,EXTRA SPACE STORAGE INC,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Self-Storage REITs,28290479938
EZJ LN Equity,EASYJET PLC,GB,GBp,Industrials,Transportation,Passenger Airlines,Passenger Airlines,3661188421
F UN Equity,FORD MOTOR CO,US,USD,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,52555536086
FANG UW Equity,DIAMONDBACK ENERGY INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,42781139426
FAST UW Equity,FASTENAL CO,US,USD,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,46265839556
FBIN UN Equity,FORTUNE BRANDS INNOVATIONS I,US,USD,Industrials,Capital Goods,Building Products,Building Products,6188326821
FCIT LN Equity,F&C INVESTMENT TRUST PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5834856445
FCX UN Equity,FREEPORT-MCMORAN INC,US,USD,Materials,Materials,Metals & Mining,Copper,60524477319
FDO UN Equity,FAMILY DOLLAR STORES LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FDS UN Equity,FACTSET RESEARCH SYSTEMS INC,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,10380664446
FDX UN Equity,FEDEX CORP,US,USD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,65083594808
FE UN Equity,FIRSTENERGY CORP,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,27332696074
FFIV UW Equity,F5 INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,13838107847
FGP LN Equity,FIRSTGROUP PLC,GB,GBp,Industrials,Transportation,Ground Transportation,Rail Transportation,996804664.4
FHI UN Equity,FEDERATED HERMES INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,3902158347
FHN UN Equity,FIRST HORIZON CORP,US,USD,Financials,Banks,Banks,Regional Banks,10950844917
FICO UN Equity,FAIR ISAAC CORP,US,USD,Information Technology,Software & Services,Software,Application Software,42611558902
FIS UN Equity,FIDELITY NATIONAL INFO SERV,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,33857082950
FISV UN Equity,FISERV INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,32690637692
FISV UQ Equity,FISERV INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,32701394730
FISV UW Equity,FISERV INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,32701394730
FITB UQ Equity,FIFTH THIRD BANCORP,US,USD,Financials,Banks,Banks,Diversified Banks,28641639951
FITB UW Equity,FIFTH THIRD BANCORP,US,USD,Financials,Banks,Banks,Diversified Banks,28641639951
FL UN Equity,FOOT LOCKER INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail,#N/A N/A
FLG LN Equity,FRIENDS LIFE GROUP LTD,GS,GBp,Financials,Insurance,Insurance,Life & Health Insurance,#N/A N/A
FLIR UW Equity,FLIR SYSTEMS INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum,#N/A N/A
FLR UN Equity,FLUOR CORP,US,USD,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,6835750122
FLS UN Equity,FLOWSERVE CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,8969270315
FLTR LN Equity,FLUTTER ENTERTAINMENT PLC-DI,US,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,26463104443
FMC UN Equity,FMC CORP,US,USD,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,1742634935
FMCC UN Equity,FREDDIE MAC,US,USD,Financials,Financial Services,Financial Services,Commercial & Residential Mortg,#N/A N/A
FNMA UN Equity,FANNIE MAE,US,USD,Financials,Financial Services,Financial Services,Commercial & Residential Mortg,#N/A N/A
FOSL UW Equity,FOSSIL GROUP INC,US,USD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",166653796.5
FOX UW Equity,FOX CORP - CLASS B,US,USD,Communication Services,Media & Entertainment,Media,Broadcasting,27245897498
FOXA UW Equity,FOX CORP - CLASS A,US,USD,Communication Services,Media & Entertainment,Media,Broadcasting,27245897498
FP/ LN Equity,AVIVA WEALTH HOLDINGS UK LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FRAS LN Equity,FRASERS GROUP PLC,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,3330087079
FRCB UN Equity,FIRST REPUBLIC BANK/CA,US,USD,Financials,Banks,Banks,Regional Banks,#N/A N/A
FRES LN Equity,FRESNILLO PLC,MX,GBp,Materials,Materials,Metals & Mining,Silver,19188709058
FRT UN Equity,FEDERAL REALTY INVS TRUST,US,USD,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,8503636956
FSH UN Equity,FISHER SCIENTIFIC INTERNATIO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FSL/B UN Equity,FREESCALE SEMICONDUCTOR-B,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FSLR UW Equity,FIRST SOLAR INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,29210349062
FTI UN Equity,TECHNIPFMC PLC,GB,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,18300488691
FTNT UW Equity,FORTINET INC,US,USD,Information Technology,Software & Services,Software,Systems Software,59900854616
FTRCQ UN Equity,FRONTIER COMMUNICATIONS CORP,US,USD,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,#N/A N/A
FTRCQ UW Equity,FRONTIER COMMUNICATIONS CORP,US,USD,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,#N/A N/A
FTV UN Equity,FORTIVE CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,16906467384
GAP UN Equity,GAP INC/THE,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail,10239005502
GAS UN Equity,SOUTHERN CO GAS,US,USD,Utilities,Utilities,Gas Utilities,Gas Utilities,#N/A N/A
GAW LN Equity,GAMES WORKSHOP GROUP PLC,GB,GBp,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,6515870078
GD UN Equity,GENERAL DYNAMICS CORP,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,91851755098
GDDY UN Equity,GODADDY INC - CLASS A,US,USD,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc,17169742694
GDT UN Equity,GUIDANT LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GDW UN Equity,GOLDEN WEST FINANCIAL CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GE UN Equity,GENERAL ELECTRIC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3.12879E+11
GEHC UW Equity,GE HEALTHCARE TECHNOLOGY,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,36728705963
GEN UQ Equity,GEN DIGITAL INC,US,USD,Information Technology,Software & Services,Software,Systems Software,16182630648
GEN UW Equity,GEN DIGITAL INC,US,USD,Information Technology,Software & Services,Software,Systems Software,16182630648
GENZ UQ Equity,GENZYME CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GENZ UW Equity,GENZYME CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GEV UN Equity,GE VERNOVA INC,US,USD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,1.60003E+11
GFS LN Equity,G4S LTD,GB,GBp,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services,#N/A N/A
GGP UN Equity,GGP INC,US,USD,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs,#N/A N/A
GHC UN Equity,GRAHAM HOLDINGS CO-CLASS B,US,USD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,4761802826
GILD UQ Equity,GILEAD SCIENCES INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,1.58199E+11
GILD UW Equity,GILEAD SCIENCES INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,1.58199E+11
GIS UN Equity,GENERAL MILLS INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,25161252626
GKN LN Equity,GKN LTD,GB,GBp,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,#N/A N/A
GL UN Equity,GLOBE LIFE INC,US,USD,Financials,Insurance,Insurance,Life & Health Insurance,10736434246
GLEN LN Equity,GLENCORE PLC,SZ,GBp,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41206544797
GLH LN Equity,GALLAHER GROUP LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GLW UN Equity,CORNING INC,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,71675329106
GM UN Equity,GENERAL MOTORS CO,US,USD,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,67921631471
GMCR UW Equity,KEURIG GREEN MOUNTAIN INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,#N/A N/A
GME UN Equity,GAMESTOP CORP-CLASS A,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail,9688264965
